planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
11 Com b,11 Com,radial velocity,2007,323.21,12.2,,4874.0,13.76,2.09,,1.0884110982246409,inner,,False,True,True
11 UMi b,11 UMi,radial velocity,2009,516.21997,12.3,,4213.0,29.79,2.78,,1.0973325006691053,inner,,False,True,True
14 And b,14 And,radial velocity,2008,186.76,13.1,,4888.0,11.55,1.78,,1.1687037202248194,inner,,False,True,True
14 Her b,14 Her,radial velocity,2002,1765.0389,12.6,2559.472161571,5338.0,0.93,0.91,8.053010312404824,1.124096708002498,outer,0.0,True,True,True
16 Cyg B b,16 Cyg B,radial velocity,1996,798.5,13.5,,5750.0,1.13,1.08,,1.2043893300026765,habitable,,False,True,True
17 Sco b,17 Sco,radial velocity,2020,578.38,12.9,,4157.0,25.92,1.22,,1.1508609153358909,inner,,False,True,True
18 Del b,18 Del,radial velocity,2008,982.85,12.5,,4980.0,8.8,2.1,,1.1151753055580338,inner,,False,True,True
1RXS J160929.1-210524 b,1RXS J160929.1-210524,imaging,2008,,18.647,3000.0,4060.0,1.31316,0.85,9.439067671822496,1.6635739138192522,unknown,0.0,True,True,True
24 Boo b,24 Boo,radial velocity,2018,30.33,13.9,,4816.0,12.19,1.05,,1.2400749397805335,inner,,False,True,True
24 Sex b,24 Sex,radial velocity,2010,452.8,13.4,,5098.0,4.9,1.54,,1.1954679275582123,inner,,False,True,True
24 Sex c,24 Sex,radial velocity,2010,883.0,13.9,,5098.0,4.9,1.54,,1.2400749397805335,inner,,False,True,True
2M0437 b,2MASS J04372171+2651014,imaging,2021,,13.0,1271.313628,3100.0,0.84,0.17,4.000005122267391,1.159782317780355,unknown,0.0,True,True,True
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,imaging,2013,,12.3,4131.79,,,0.19,13.000081805253156,1.0973325006691053,unknown,0.0,True,True,False
2MASS J01225093-2439505 b,2MASS J01225093-2439505,imaging,2013,,11.209,7786.5,3530.0,0.36645,0.4,24.499100142215287,1.0,unknown,0.0,True,True,True
2MASS J02192210-3925225 b,2MASS J02192210-3925225,imaging,2015,,16.14096,4417.837,3064.0,0.281,0.108,13.900087468693762,1.44,unknown,0.0,True,True,True
2MASS J0249-0557 c,2MASS J0249-0557 A,imaging,2018,,12.4,3686.8095212,2859.0,0.315959,0.046,11.60001485457543,1.1062539031135694,unknown,0.0,True,True,True
2MASS J03590986+2009361 b,2MASS J03590986+2009361,imaging,2024,,12.2,5720.911326,2943.0,0.289776,0.264996,18.000023050203257,1.0884110982246409,unknown,0.0,True,True,True
2MASS J04414489+2301513 b,2MASS J04414489+2301513,imaging,2010,,12.6,2383.6,2936.0,0.231916,0.019,7.499653900852033,1.124096708002498,unknown,0.0,True,True,True
