pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,st_teff,st_rad,st_mass
HD 70642 b,HD 70642,Radial Velocity,2003,2124.54,,,5732,0.984,1.078
Kepler-20 d,Kepler-20,Transit,2011,77.61184,2.75,20.1,5455,0.944,0.912
Kepler-976 b,Kepler-976,Transit,2016,105.9564148,3.81,,5308,0.796,0.887
Kepler-188 c,Kepler-188,Transit,2014,5.996537113,,,5704,1.06544,1.02
K2-151 b,K2-151,Transit,2018,3.835376,1.5,,,0.45,
HAT-P-54 b,HAT-P-54,Transit,2015,3.7999139,10.8,,4171,0.64,
Kepler-61 b,Kepler-61,Transit,2013,59.87756,2.15,,4017,0.62,0.635
Kepler-818 b,Kepler-818,Transit,2016,10.0354073,,,5624,0.913187,1
Kepler-407 b,Kepler-407,Transit,2014,0.669309686,1.21,,5626,1.067,1.051
WASP-15 b,WASP-15,Transit,2009,3.7520997,,,,,
Kepler-890 b,Kepler-890,Transit,2016,,10.703,,6235,1.39,
WASP-58 b,WASP-58,Transit,2012,5.01718,15.35633,285.72917,5800,1.17,0.94
Kepler-199 c,Kepler-199,Transit,2014,67.09342695,,,5698.3,0.917774,1.01
Kepler-902 b,Kepler-902,Transit,2016,40.10999,3,,5966,0.93,1.024
Kepler-176 b,Kepler-176,Transit,2014,5.43312169,1.268,,5106,0.787,0.86
Kepler-1295 b,Kepler-1295,Transit,2016,3.81371423,1.37,,5547,0.82,0.918
Kepler-903 c,Kepler-903,Transit,2016,62.9147,1.98,,5726,0.85,0.959
K2-369 b,K2-369,Transit,2022,5.7619248,1.37,,5350,0.83,
Kepler-647 c,Kepler-647,Transit,2020,29.66629667,2.7,,5955,1.053,0.93
Kepler-1552 b,Kepler-1552,Transit,2016,184.771853,2.17,,5220,0.677,0.714
Kepler-1998 b,Kepler-1998,Transit,2023,3.03263998,0.69419998,,5640,0.921,0.962
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,Microlensing,2022,,,19.06970442,,,0.69
Kepler-1907 c,Kepler-1907,Transit,2021,14.86386959,7.44,,4866,0.665,0.673
Kepler-480 b,Kepler-480,Transit,2016,4.919583795,2.43,,6495,1.168,1.19
WASP-130 b,WASP-130,Transit,2016,11.5509796,,,5625,0.96,1.04
KELT-9 b,KELT-9,Transit,2017,1.48111871,,,,,
Kepler-1608 b,Kepler-1608,Transit,2016,16.47375729,,,,,
WASP-76 b,WASP-76,Transit,2016,1.80988452,,,,,
Kepler-150 d,Kepler-150,Transit,2014,12.56092796,2.671,,5588,0.863,0.956
K2-232 b,K2-232,Transit,2018,11.168459,11.859122,123.00021,5888,1.233,1.039
Kepler-392 b,Kepler-392,Transit,2014,5.341853157,,,6026.51,1.14758,1.12
Kepler-262 b,Kepler-262,Transit,2014,13.0607936,,,5435.5,0.959919,0.95
Kepler-391 b,Kepler-391,Transit,2014,7.41683033,,,5032.18,2.74314,
HD 8574 b,HD 8574,Radial Velocity,2002,227,,,6050,,1.122
Kepler-1203 b,Kepler-1203,Transit,2016,0.5879933,1.01,,4115,0.532,0.557
Kepler-1347 b,Kepler-1347,Transit,2016,14.00948631,0.98,,5153,0.767,0.763
Kepler-258 c,Kepler-258,Transit,2014,33.6529701,3.17,,4951,0.77,0.82
Kepler-605 c,Kepler-605,Transit,2016,2.358951515,0.8,,5438,0.82,0.92
GJ 229 A c,GJ 229,Radial Velocity,2020,121.995,,,,,0.58
Kepler-1642 b,Kepler-1642,Transit,2016,12.2064304,,,5095,0.805577,0.855
Kepler-79 c,Kepler-79,Transit,2012,27.4029,3.72,5.9,6174,1.302,1.165
GJ 3634 b,GJ 3634,Radial Velocity,2010,2.64561,,8.4,,0.43,0.45
Kepler-1588 b,Kepler-1588,Transit,2016,7.84931877,,,5697.81,1.48384,1.01
Kepler-368 c,Kepler-368,Transit,2014,72.3826983,,,5395.36,2.18669,0.94
Kepler-1263 b,Kepler-1263,Transit,2016,4.5513988,,,5157.25,0.777685,0.87
Kepler-83 c,Kepler-83,Transit,2012,20.09,2.33,11.4,,0.592,0.632
Kepler-1243 b,Kepler-1243,Transit,2016,16.8320695,,,5492.85,0.834193,0.96
HD 222582 b,HD 222582,Radial Velocity,1999,572.38,,,5790,1.13,1.12
Kepler-1521 b,Kepler-1521,Transit,2016,47.14840805,6.46,,5089,1.945,1.029
Kepler-408 b,Kepler-408,Transit,2014,2.465031,0.78,,6027,1.31,1.055
Kepler-1915 b,Kepler-1915,Transit,2021,13.8353959,,,5743,1.08403,1.03
Kepler-751 b,Kepler-751,Transit,2016,17.44490636,2.46,,5387,0.84,0.87
Kepler-211 b,Kepler-211,Transit,2014,4.138536769,2.49,,5244,1.56,0.929
Kepler-1167 b,Kepler-1167,Transit,2016,1.003931703,,,4806,0.778285,0.78
TOI-2274 b,TOI-2274,Transit,2024,2.679616364,1.83347689,,3943,0.63072,
Kepler-615 b,Kepler-615,Transit,2016,10.35585454,,,,,
